DV001,2019-10-01,2019-10-01 09:00:00,2019-10-01 18:00:00,정상
DV001,2019-10-02,2019-10-02 09:00:00,2019-10-02 18:00:00,정상
DV001,2019-10-03,2019-10-03 09:00:00,2019-10-03 18:00:00,정상
DV001,2019-10-04,2019-10-04 09:00:00,2019-10-04 18:00:00,정상
DV001,2019-10-05,,,
DV001,2019-10-06,,,
DV001,2019-10-07,2019-10-07 09:00:00,2019-10-07 18:00:00,정상
DV001,2019-10-08,2019-10-08 09:00:00,2019-10-08 18:00:00,정상
DV001,2019-10-09,2019-10-09 09:00:00,2019-10-09 18:00:00,정상
DV001,2019-10-10,2019-10-10 09:00:00,2019-10-10 18:00:00,정상
DV001,2019-10-11,2019-10-11 09:00:00,2019-10-11 18:00:00,정상
DV001,2019-10-12,,,
DV001,2019-10-13,,,
DV001,2019-10-14,2019-10-14 09:00:00,2019-10-14 18:00:00,정상
DV001,2019-10-15,2019-10-15 09:00:00,2019-10-15 18:00:00,정상
DV001,2019-10-16,2019-10-16 09:00:00,2019-10-16 18:00:00,정상
DV001,2019-10-17,2019-10-17 09:00:00,2019-10-17 18:00:00,정상
DV001,2019-10-18,2019-10-18 09:00:00,2019-10-18 18:00:00,정상
DV001,2019-10-19,,,
DV001,2019-10-20,,,
DV001,2019-10-21,2019-10-21 09:00:00,2019-10-21 18:00:00,정상
DV001,2019-10-22,2019-10-22 09:00:00,2019-10-22 18:00:00,정상
DV001,2019-10-23,2019-10-23 09:00:00,2019-10-23 18:00:00,정상
DV001,2019-10-24,2019-10-24 09:00:00,2019-10-24 18:00:00,정상
DV001,2019-10-25,2019-10-25 09:00:00,2019-10-25 18:00:00,정상
DV001,2019-10-26,,,
DV001,2019-10-27,,,
DV001,2019-10-28,2019-10-28 09:00:00,2019-10-28 18:00:00,정상
DV001,2019-10-29,2019-10-29 09:00:00,2019-10-29 18:00:00,정상
DV001,2019-10-30,2019-10-30 09:00:00,2019-10-30 18:00:00,정상
DV001,2019-10-31,2019-10-31 09:00:00,2019-10-31 18:00:00,정상 
